"NutsID","region_name","NUTS_level","e.year","e.value","el.education_level"
"111160101","Aboim das Choças","5","2019","94","Total"
"111160102","Aguiã","5","2019","99","Total"
"111160104","Ázere","5","2019","68","Total"
"111160105","Cabana Maior","5","2019","63","Total"
"111160106","Cabreiro","5","2019","204","Total"
"111160108","Cendufe","5","2019","50","Total"
"111160109","Couto","5","2019","104","Total"
"111160113","Gavieira","5","2019","271","Total"
"111160115","Gondoriz","5","2019","298","Total"
"111160121","Miranda","5","2019","117","Total"
"111160122","Monte Redondo","5","2019","69","Total"
"111160123","Oliveira","5","2019","95","Total"
"111160124","Paçô","5","2019","86","Total"
"111160125","Padroso","5","2019","43","Total"
"111160128","Prozelo","5","2019","134","Total"
"111160130","Rio Frio","5","2019","151","Total"
"111160131","Rio de Moinhos","5","2019","106","Total"
"111160133","Sabadim","5","2019","99","Total"
"111160142","Jolda (São Paio)","5","2019","58","Total"
"111160144","Senharei","5","2019","79","Total"
"111160145","Sistelo","5","2019","135","Total"
"111160146","Soajo","5","2019","268","Total"
"111160149","Vale","5","2019","191","Total"
"111160152","União das freguesias de Alvora e Loureda","5","2019","119","Total"
"111160153","União das freguesias de Arcos de Valdevez (São Paio) e Giela","5","2019","90","Total"
"111160154","União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada","5","2019","72","Total"
"111160155","União das freguesias de Eiras e Mei","5","2019","84","Total"
"111160156","União das freguesias de Grade e Carralcova","5","2019","177","Total"
"111160157","União das freguesias de Guilhadeses e Santar","5","2019","146","Total"
"111160158","União das freguesias de Jolda (Madalena) e Rio Cabrão","5","2019","114","Total"
"111160159","União das freguesias de Padreiro (Salvador e Santa Cristina)","5","2019","80","Total"
"111160160","União das freguesias de Portela e Extremo","5","2019","80","Total"
"111160161","União das freguesias de São Jorge e Ermelo","5","2019","152","Total"
"111160162","União das freguesias de Souto e Tabaçô","5","2019","160","Total"
"111160163","União das freguesias de Távora (Santa Maria e São Vicente)","5","2019","200","Total"
"111160164","União das freguesias de Vilela, São Cosme e São Damião e Sá","5","2019","156","Total"
"111160201","Âncora","5","2019","59","Total"
"111160205","Argela","5","2019","29","Total"
"111160209","Dem","5","2019","76","Total"
