"NutsID","region_name","NUTS_level","pc.year","pc.area","pcn.crop_name"
"111160101","Aboim das Choças","5","2019","13","Total"
"111160101","Aboim das Choças","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160101","Aboim das Choças","5","2019","0","Citrus plantations"
"111160101","Aboim das Choças","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160101","Aboim das Choças","5","2019","0","Nuts plantations"
"111160101","Aboim das Choças","5","2019","0","Olive plantations"
"111160101","Aboim das Choças","5","2019","12","Vineyards"
"111160101","Aboim das Choças","5","2019","0","Other permanent crops"
"111160102","Aguiã","5","2019","16","Total"
"111160102","Aguiã","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160102","Aguiã","5","2019","0","Citrus plantations"
"111160102","Aguiã","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160102","Aguiã","5","2019","0","Nuts plantations"
"111160102","Aguiã","5","2019","1","Olive plantations"
"111160102","Aguiã","5","2019","15","Vineyards"
"111160102","Aguiã","5","2019","0","Other permanent crops"
"111160104","Ázere","5","2019","10","Total"
"111160104","Ázere","5","2019","2","Fresh fruit plantations (excluding citrus plantations)"
"111160104","Ázere","5","2019","1","Citrus plantations"
"111160104","Ázere","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160104","Ázere","5","2019","0","Nuts plantations"
"111160104","Ázere","5","2019","0","Olive plantations"
"111160104","Ázere","5","2019","7","Vineyards"
"111160104","Ázere","5","2019","0","Other permanent crops"
"111160105","Cabana Maior","5","2019","2","Total"
"111160105","Cabana Maior","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160105","Cabana Maior","5","2019","0","Citrus plantations"
"111160105","Cabana Maior","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160105","Cabana Maior","5","2019","0","Nuts plantations"
"111160105","Cabana Maior","5","2019","0","Olive plantations"
"111160105","Cabana Maior","5","2019","2","Vineyards"
"111160105","Cabana Maior","5","2019","0","Other permanent crops"
"111160106","Cabreiro","5","2019","4","Total"
"111160106","Cabreiro","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160106","Cabreiro","5","2019","0","Citrus plantations"
"111160106","Cabreiro","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160106","Cabreiro","5","2019","0","Nuts plantations"
"111160106","Cabreiro","5","2019","0","Olive plantations"
"111160106","Cabreiro","5","2019","3","Vineyards"
"111160106","Cabreiro","5","2019","0","Other permanent crops"
"111160108","Cendufe","5","2019","14","Total"
"111160108","Cendufe","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160108","Cendufe","5","2019","0","Citrus plantations"
"111160108","Cendufe","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160108","Cendufe","5","2019","4","Nuts plantations"
"111160108","Cendufe","5","2019","0","Olive plantations"
"111160108","Cendufe","5","2019","9","Vineyards"
"111160108","Cendufe","5","2019","0","Other permanent crops"
"111160109","Couto","5","2019","9","Total"
"111160109","Couto","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160109","Couto","5","2019","0","Citrus plantations"
"111160109","Couto","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160109","Couto","5","2019","1","Nuts plantations"
"111160109","Couto","5","2019","0","Olive plantations"
"111160109","Couto","5","2019","7","Vineyards"
"111160109","Couto","5","2019","0","Other permanent crops"
"111160113","Gavieira","5","2019","2","Total"
"111160113","Gavieira","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160113","Gavieira","5","2019","0","Citrus plantations"
"111160113","Gavieira","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160113","Gavieira","5","2019","0","Nuts plantations"
"111160113","Gavieira","5","2019","0","Olive plantations"
"111160113","Gavieira","5","2019","2","Vineyards"
"111160113","Gavieira","5","2019","0","Other permanent crops"
"111160115","Gondoriz","5","2019","30","Total"
"111160115","Gondoriz","5","2019","4","Fresh fruit plantations (excluding citrus plantations)"
"111160115","Gondoriz","5","2019","0","Citrus plantations"
"111160115","Gondoriz","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160115","Gondoriz","5","2019","0","Nuts plantations"
"111160115","Gondoriz","5","2019","0","Olive plantations"
"111160115","Gondoriz","5","2019","25","Vineyards"
"111160115","Gondoriz","5","2019","0","Other permanent crops"
"111160121","Miranda","5","2019","11","Total"
"111160121","Miranda","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160121","Miranda","5","2019","0","Citrus plantations"
"111160121","Miranda","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160121","Miranda","5","2019","1","Nuts plantations"
"111160121","Miranda","5","2019","1","Olive plantations"
"111160121","Miranda","5","2019","8","Vineyards"
"111160121","Miranda","5","2019","0","Other permanent crops"
"111160122","Monte Redondo","5","2019","6","Total"
"111160122","Monte Redondo","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160122","Monte Redondo","5","2019","0","Citrus plantations"
"111160122","Monte Redondo","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160122","Monte Redondo","5","2019","0","Nuts plantations"
"111160122","Monte Redondo","5","2019","0","Olive plantations"
"111160122","Monte Redondo","5","2019","5","Vineyards"
"111160122","Monte Redondo","5","2019","0","Other permanent crops"
"111160123","Oliveira","5","2019","32","Total"
"111160123","Oliveira","5","2019","2","Fresh fruit plantations (excluding citrus plantations)"
"111160123","Oliveira","5","2019","0","Citrus plantations"
"111160123","Oliveira","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160123","Oliveira","5","2019","4","Nuts plantations"
"111160123","Oliveira","5","2019","0","Olive plantations"
"111160123","Oliveira","5","2019","26","Vineyards"
"111160123","Oliveira","5","2019","0","Other permanent crops"
"111160124","Paçô","5","2019","58","Total"
"111160124","Paçô","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160124","Paçô","5","2019","0","Citrus plantations"
"111160124","Paçô","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160124","Paçô","5","2019","3","Nuts plantations"
"111160124","Paçô","5","2019","0","Olive plantations"
"111160124","Paçô","5","2019","53","Vineyards"
"111160124","Paçô","5","2019","2","Other permanent crops"
"111160125","Padroso","5","2019","1","Total"
"111160125","Padroso","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160125","Padroso","5","2019","0","Citrus plantations"
"111160125","Padroso","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160125","Padroso","5","2019","0","Nuts plantations"
"111160125","Padroso","5","2019","0","Olive plantations"
"111160125","Padroso","5","2019","1","Vineyards"
"111160125","Padroso","5","2019","0","Other permanent crops"
"111160128","Prozelo","5","2019","5","Total"
"111160128","Prozelo","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160128","Prozelo","5","2019","0","Citrus plantations"
"111160128","Prozelo","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160128","Prozelo","5","2019","1","Nuts plantations"
"111160128","Prozelo","5","2019","0","Olive plantations"
"111160128","Prozelo","5","2019","4","Vineyards"
"111160128","Prozelo","5","2019","0","Other permanent crops"
"111160130","Rio Frio","5","2019","9","Total"
"111160130","Rio Frio","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160130","Rio Frio","5","2019","0","Citrus plantations"
"111160130","Rio Frio","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160130","Rio Frio","5","2019","2","Nuts plantations"
"111160130","Rio Frio","5","2019","0","Olive plantations"
"111160130","Rio Frio","5","2019","7","Vineyards"
"111160130","Rio Frio","5","2019","0","Other permanent crops"
"111160131","Rio de Moinhos","5","2019","26","Total"
"111160131","Rio de Moinhos","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160131","Rio de Moinhos","5","2019","0","Citrus plantations"
"111160131","Rio de Moinhos","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160131","Rio de Moinhos","5","2019","21","Nuts plantations"
"111160131","Rio de Moinhos","5","2019","0","Olive plantations"
"111160131","Rio de Moinhos","5","2019","5","Vineyards"
"111160131","Rio de Moinhos","5","2019","0","Other permanent crops"
"111160133","Sabadim","5","2019","19","Total"
"111160133","Sabadim","5","2019","1","Fresh fruit plantations (excluding citrus plantations)"
"111160133","Sabadim","5","2019","0","Citrus plantations"
"111160133","Sabadim","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160133","Sabadim","5","2019","3","Nuts plantations"
"111160133","Sabadim","5","2019","0","Olive plantations"
"111160133","Sabadim","5","2019","14","Vineyards"
"111160133","Sabadim","5","2019","0","Other permanent crops"
"111160142","Jolda (São Paio)","5","2019","25","Total"
"111160142","Jolda (São Paio)","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160142","Jolda (São Paio)","5","2019","0","Citrus plantations"
"111160142","Jolda (São Paio)","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160142","Jolda (São Paio)","5","2019","1","Nuts plantations"
"111160142","Jolda (São Paio)","5","2019","0","Olive plantations"
"111160142","Jolda (São Paio)","5","2019","24","Vineyards"
"111160142","Jolda (São Paio)","5","2019","0","Other permanent crops"
"111160144","Senharei","5","2019","2","Total"
"111160144","Senharei","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160144","Senharei","5","2019","0","Citrus plantations"
"111160144","Senharei","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160144","Senharei","5","2019","0","Nuts plantations"
"111160144","Senharei","5","2019","0","Olive plantations"
"111160144","Senharei","5","2019","1","Vineyards"
"111160144","Senharei","5","2019","0","Other permanent crops"
"111160145","Sistelo","5","2019","1","Total"
"111160145","Sistelo","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160145","Sistelo","5","2019","0","Citrus plantations"
"111160145","Sistelo","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160145","Sistelo","5","2019","0","Nuts plantations"
"111160145","Sistelo","5","2019","0","Olive plantations"
"111160145","Sistelo","5","2019","1","Vineyards"
"111160145","Sistelo","5","2019","0","Other permanent crops"
"111160146","Soajo","5","2019","9","Total"
"111160146","Soajo","5","2019","1","Fresh fruit plantations (excluding citrus plantations)"
"111160146","Soajo","5","2019","0","Citrus plantations"
"111160146","Soajo","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160146","Soajo","5","2019","0","Nuts plantations"
"111160146","Soajo","5","2019","0","Olive plantations"
"111160146","Soajo","5","2019","8","Vineyards"
"111160146","Soajo","5","2019","0","Other permanent crops"
"111160149","Vale","5","2019","19","Total"
"111160149","Vale","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160149","Vale","5","2019","0","Citrus plantations"
"111160149","Vale","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160149","Vale","5","2019","3","Nuts plantations"
"111160149","Vale","5","2019","0","Olive plantations"
"111160149","Vale","5","2019","16","Vineyards"
"111160149","Vale","5","2019","0","Other permanent crops"
"111160152","União das freguesias de Alvora e Loureda","5","2019","18","Total"
"111160152","União das freguesias de Alvora e Loureda","5","2019","2","Fresh fruit plantations (excluding citrus plantations)"
"111160152","União das freguesias de Alvora e Loureda","5","2019","0","Citrus plantations"
"111160152","União das freguesias de Alvora e Loureda","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160152","União das freguesias de Alvora e Loureda","5","2019","0","Nuts plantations"
"111160152","União das freguesias de Alvora e Loureda","5","2019","0","Olive plantations"
"111160152","União das freguesias de Alvora e Loureda","5","2019","16","Vineyards"
"111160152","União das freguesias de Alvora e Loureda","5","2019","0","Other permanent crops"
"111160153","União das freguesias de Arcos de Valdevez (São Paio) e Giela","5","2019","38","Total"
"111160153","União das freguesias de Arcos de Valdevez (São Paio) e Giela","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160153","União das freguesias de Arcos de Valdevez (São Paio) e Giela","5","2019","0","Citrus plantations"
"111160153","União das freguesias de Arcos de Valdevez (São Paio) e Giela","5","2019","1","Fruit plantations (subtropical climate zones)"
"111160153","União das freguesias de Arcos de Valdevez (São Paio) e Giela","5","2019","3","Nuts plantations"
"111160153","União das freguesias de Arcos de Valdevez (São Paio) e Giela","5","2019","1","Olive plantations"
"111160153","União das freguesias de Arcos de Valdevez (São Paio) e Giela","5","2019","33","Vineyards"
"111160153","União das freguesias de Arcos de Valdevez (São Paio) e Giela","5","2019","0","Other permanent crops"
"111160154","União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada","5","2019","8","Total"
"111160154","União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160154","União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada","5","2019","0","Citrus plantations"
"111160154","União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160154","União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada","5","2019","3","Nuts plantations"
"111160154","União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada","5","2019","0","Olive plantations"
"111160154","União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada","5","2019","5","Vineyards"
"111160154","União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada","5","2019","0","Other permanent crops"
"111160155","União das freguesias de Eiras e Mei","5","2019","8","Total"
"111160155","União das freguesias de Eiras e Mei","5","2019","0","Fresh fruit plantations (excluding citrus plantations)"
"111160155","União das freguesias de Eiras e Mei","5","2019","0","Citrus plantations"
"111160155","União das freguesias de Eiras e Mei","5","2019","0","Fruit plantations (subtropical climate zones)"
"111160155","União das freguesias de Eiras e Mei","5","2019","1","Nuts plantations"
"111160155","União das freguesias de Eiras e Mei","5","2019","0","Olive plantations"
"111160155","União das freguesias de Eiras e Mei","5","2019","7","Vineyards"
"111160155","União das freguesias de Eiras e Mei","5","2019","0","Other permanent crops"
"111160156","União das freguesias de Grade e Carralcova","5","2019","17","Total"
