"NutsID","Region Name","NUTS ID","tc.year","tc.area","tc.hold","tcn.crop_name"
"11","Norte","2","2019","151107","54566","Total"
"11","Norte","2","2019","38251","34891","Cereals"
"11","Norte","2","2019","1913","6615","Dried pulses"
"11","Norte","2","2019","6841","6597","Temporary grasses and grazings"
"11","Norte","2","2019","96034","28265","Fodder plants"
"11","Norte","2","2019","3789","18895","Potatoes"
"11","Norte","2","2019","0","0","Sugarbeets"
"11","Norte","2","2019","164","130","Industrial crops"
"11","Norte","2","2019","3634","5567","Fresh vegetables"
"11","Norte","2","2019","368","523","Flowers and ornamental plants"
"11","Norte","2","2019","113","348","Other temporary crops"
"15","Algarve","2","2019","12120","1860","Total"
"15","Algarve","2","2019","2596","420","Cereals"
"15","Algarve","2","2019","106","91","Dried pulses"
"15","Algarve","2","2019","1659","170","Temporary grasses and grazings"
"15","Algarve","2","2019","6158","564","Fodder plants"
"15","Algarve","2","2019","83","154","Potatoes"
"15","Algarve","2","2019","0","0","Sugarbeets"
"15","Algarve","2","2019","148","80","Industrial crops"
"15","Algarve","2","2019","915","765","Fresh vegetables"
"15","Algarve","2","2019","276","64","Flowers and ornamental plants"
"15","Algarve","2","2019","178","136","Other temporary crops"
"16","Centro","2","2019","171887","50621","Total"
"16","Centro","2","2019","46322","26073","Cereals"
"16","Centro","2","2019","3279","7952","Dried pulses"
"16","Centro","2","2019","13747","4720","Temporary grasses and grazings"
"16","Centro","2","2019","91275","26633","Fodder plants"
"16","Centro","2","2019","4260","14521","Potatoes"
"16","Centro","2","2019","0","0","Sugarbeets"
"16","Centro","2","2019","303","235","Industrial crops"
"16","Centro","2","2019","11597","6642","Fresh vegetables"
"16","Centro","2","2019","170","279","Flowers and ornamental plants"
"16","Centro","2","2019","934","863","Other temporary crops"
"17","Área Metropolitana de Lisboa","2","2019","34812","3067","Total"
"17","Área Metropolitana de Lisboa","2","2019","9349","563","Cereals"
"17","Área Metropolitana de Lisboa","2","2019","184","138","Dried pulses"
"17","Área Metropolitana de Lisboa","2","2019","1521","183","Temporary grasses and grazings"
"17","Área Metropolitana de Lisboa","2","2019","13637","1289","Fodder plants"
"17","Área Metropolitana de Lisboa","2","2019","1702","637","Potatoes"
"17","Área Metropolitana de Lisboa","2","2019","0","0","Sugarbeets"
"17","Área Metropolitana de Lisboa","2","2019","242","106","Industrial crops"
"17","Área Metropolitana de Lisboa","2","2019","7749","1345","Fresh vegetables"
"17","Área Metropolitana de Lisboa","2","2019","307","73","Flowers and ornamental plants"
"17","Área Metropolitana de Lisboa","2","2019","122","122","Other temporary crops"
"18","Alentejo","2","2019","473551","14788","Total"
"18","Alentejo","2","2019","138011","4637","Cereals"
"18","Alentejo","2","2019","13185","1149","Dried pulses"
"18","Alentejo","2","2019","82035","2396","Temporary grasses and grazings"
"18","Alentejo","2","2019","199160","8665","Fodder plants"
"18","Alentejo","2","2019","2752","363","Potatoes"
"18","Alentejo","2","2019","0","0","Sugarbeets"
"18","Alentejo","2","2019","9650","596","Industrial crops"
"18","Alentejo","2","2019","26614","1555","Fresh vegetables"
"18","Alentejo","2","2019","707","66","Flowers and ornamental plants"
"18","Alentejo","2","2019","1438","249","Other temporary crops"
"20","Região Autónoma dos Açores ","2","2019","42822","5659","Total"
"20","Região Autónoma dos Açores ","2","2019","35","196","Cereals"
"20","Região Autónoma dos Açores ","2","2019","30","225","Dried pulses"
"20","Região Autónoma dos Açores ","2","2019","14767","2013","Temporary grasses and grazings"
"20","Região Autónoma dos Açores ","2","2019","26703","3699","Fodder plants"
"20","Região Autónoma dos Açores ","2","2019","324","701","Potatoes"
"20","Região Autónoma dos Açores ","2","2019","0","0","Sugarbeets"
"20","Região Autónoma dos Açores ","2","2019","5","24","Industrial crops"
"20","Região Autónoma dos Açores ","2","2019","673","712","Fresh vegetables"
"20","Região Autónoma dos Açores ","2","2019","49","53","Flowers and ornamental plants"
"20","Região Autónoma dos Açores ","2","2019","235","866","Other temporary crops"
"30","Região Autónoma da Madeira ","2","2019","2085","9363","Total"
"30","Região Autónoma da Madeira ","2","2019","34","443","Cereals"
"30","Região Autónoma da Madeira ","2","2019","0","0","Dried pulses"
"30","Região Autónoma da Madeira ","2","2019","7","13","Temporary grasses and grazings"
"30","Região Autónoma da Madeira ","2","2019","77","599","Fodder plants"
"30","Região Autónoma da Madeira ","2","2019","473","4764","Potatoes"
"30","Região Autónoma da Madeira ","2","2019","0","0","Sugarbeets"
"30","Região Autónoma da Madeira ","2","2019","180","1477","Industrial crops"
"30","Região Autónoma da Madeira ","2","2019","814","7096","Fresh vegetables"
"30","Região Autónoma da Madeira ","2","2019","45","140","Flowers and ornamental plants"
"30","Região Autónoma da Madeira ","2","2019","456","5595","Other temporary crops"
